Signal,label
-0.0008419541707070066,1
-0.0004078046187669038,1
0.00018864916052032602,1
-0.003502326427834199,1
-0.0004915482175653658,1
-0.003547865430036629,1
0.0010530546735240305,1
0.0024064234867225962,1
0.0038587094491960884,1
-0.0024183254218051687,1
0.00023974390271586327,1
0.002648405715268183,1
-7.313294115516855e-06,1
0.0012064057265556978,1
0.0008171125945000334,1
-0.0021625460704928143,1
0.0009320607608018544,1
0.0020180986735509397,1
-0.00044404739386137677,1
0.001721515228401109,1
-0.0024194016212717505,1
0.0012349193735682815,1
0.002914728733455862,1
-0.005578608404514376,1
0.0005238262859613885,1
-0.0028285524007652524,1
-0.0001763851090282839,1
-0.00025586632363080504,1
0.0013277374094563558,1
0.0028855790639052475,1
0.0014895934171786768,1
0.002799635642082278,1
-0.004434361967281139,1
-9.935184480646628e-05,1
0.0061895068076487075,1
-0.006052569141155646,1
-0.002809074683582657,1
0.0022517247793201346,1
0.000812747028829997,1
0.0005569157887659196,1
-0.0030794749873053655,1
-0.003314545939357429,1
9.662364324939224e-05,1
-0.0022131199280232055,1
0.0012662802593956359,1
8.205093277947877e-05,1
-0.003241628321133192,1
-0.005053688585632662,1
-0.0007241123723247821,1
0.0008710643503465452,1
0.0017427571535167537,1
0.0010442424857837493,1
0.0008727518470846886,1
0.007511943848734262,1
